name,date_utc,success,rocket
ABS-2A / Eutelsat 117W B,2016-06-15 14:29:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-9,2016-07-18 04:45:00+00:00,True,5e9d0d95eda69973a809d1ec
JCSAT-16,2016-08-14 05:26:00+00:00,True,5e9d0d95eda69973a809d1ec
Amos-6,2016-09-01 13:07:00+00:00,False,5e9d0d95eda69973a809d1ec
Iridium NEXT Mission 1,2017-01-14 17:54:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-10,2017-02-19 14:39:00+00:00,True,5e9d0d95eda69973a809d1ec
EchoStar 23,2017-03-16 06:00:00+00:00,True,5e9d0d95eda69973a809d1ec
SES-10,2017-03-30 22:27:00+00:00,True,5e9d0d95eda69973a809d1ec
NROL-76,2017-05-01 11:15:00+00:00,True,5e9d0d95eda69973a809d1ec
Inmarsat-5 F4,2017-05-15 23:21:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-11,2017-06-03 21:07:00+00:00,True,5e9d0d95eda69973a809d1ec
BulgariaSat-1,2017-06-23 19:10:00+00:00,True,5e9d0d95eda69973a809d1ec
Iridium NEXT Mission 2,2017-06-25 20:25:00+00:00,True,5e9d0d95eda69973a809d1ec
Intelsat 35e,2017-07-05 23:35:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-12,2017-08-14 16:31:00+00:00,True,5e9d0d95eda69973a809d1ec
FormoSat-5,2017-08-24 18:50:00+00:00,True,5e9d0d95eda69973a809d1ec
Boeing X-37B OTV-5,2017-09-07 13:50:00+00:00,True,5e9d0d95eda69973a809d1ec
Iridium NEXT Mission 3,2017-10-09 12:37:00+00:00,True,5e9d0d95eda69973a809d1ec
SES-11 / Echostar 105,2017-10-11 22:53:00+00:00,True,5e9d0d95eda69973a809d1ec
KoreaSat 5A,2017-10-30 19:34:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-13,2017-12-15 15:36:00+00:00,True,5e9d0d95eda69973a809d1ec
Iridium NEXT Mission 4,2017-12-23 01:27:23+00:00,True,5e9d0d95eda69973a809d1ec
ZUMA,2018-01-08 01:00:00+00:00,True,5e9d0d95eda69973a809d1ec
SES-16 / GovSat-1,2018-01-31 21:25:00+00:00,True,5e9d0d95eda69973a809d1ec
Falcon Heavy Test Flight,2018-02-06 20:45:00+00:00,True,5e9d0d95eda69974db09d1ed
Paz / Starlink Demo,2018-02-22 14:17:00+00:00,True,5e9d0d95eda69973a809d1ec
Hispasat 30W-6,2018-03-06 05:33:00+00:00,True,5e9d0d95eda69973a809d1ec
Iridium NEXT Mission 5,2018-03-30 14:13:51+00:00,True,5e9d0d95eda69973a809d1ec
CRS-14,2018-04-02 20:30:41+00:00,True,5e9d0d95eda69973a809d1ec
TESS,2018-04-18 22:51:00+00:00,True,5e9d0d95eda69973a809d1ec
Bangabandhu-1,2018-05-11 20:14:00+00:00,True,5e9d0d95eda69973a809d1ec
Iridium NEXT Mission 6,2018-05-22 19:47:58+00:00,True,5e9d0d95eda69973a809d1ec
SES-12,2018-06-04 04:45:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-15,2018-06-29 09:42:00+00:00,True,5e9d0d95eda69973a809d1ec
Telstar 19V,2018-07-22 05:50:00+00:00,True,5e9d0d95eda69973a809d1ec
Iridium NEXT Mission 7,2018-07-25 11:39:26+00:00,True,5e9d0d95eda69973a809d1ec
Merah Putih,2018-08-07 05:18:00+00:00,True,5e9d0d95eda69973a809d1ec
Telstar 18V,2018-09-10 04:45:00+00:00,True,5e9d0d95eda69973a809d1ec
SAOCOM 1A,2018-10-08 02:22:00+00:00,True,5e9d0d95eda69973a809d1ec
Es’hail 2,2018-11-15 20:46:00+00:00,True,5e9d0d95eda69973a809d1ec
SSO-A,2018-12-03 18:34:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-16,2018-12-05 18:16:00+00:00,True,5e9d0d95eda69973a809d1ec
GPS III SV01,2018-12-23 13:51:00+00:00,True,5e9d0d95eda69973a809d1ec
Iridium NEXT Mission 8,2019-01-11 15:31:00+00:00,True,5e9d0d95eda69973a809d1ec
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22 01:45:00+00:00,True,5e9d0d95eda69973a809d1ec
CCtCap Demo Mission 1,2019-03-02 07:45:00+00:00,True,5e9d0d95eda69973a809d1ec
ArabSat 6A,2019-04-11 22:35:00+00:00,True,5e9d0d95eda69974db09d1ed
CRS-17,2019-05-04 06:48:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink v0.9,2019-05-24 02:30:00+00:00,True,5e9d0d95eda69973a809d1ec
RADARSAT Constellation,2019-06-12 14:17:00+00:00,True,5e9d0d95eda69973a809d1ec
STP-2,2019-06-25 03:30:00+00:00,True,5e9d0d95eda69974db09d1ed
CRS-18,2019-07-25 22:01:00+00:00,True,5e9d0d95eda69973a809d1ec
Amos-17,2019-08-06 22:52:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-1,2019-11-11 14:56:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-19,2019-12-05 17:29:23+00:00,True,5e9d0d95eda69973a809d1ec
JCSat 18 / Kacific 1,2019-12-17 00:10:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-2,2020-01-07 02:19:00+00:00,True,5e9d0d95eda69973a809d1ec
Crew Dragon In Flight Abort Test,2020-01-19 14:00:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-3,2020-01-29 14:06:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-4,2020-02-17 15:05:55+00:00,True,5e9d0d95eda69973a809d1ec
CRS-20,2020-03-07 04:50:31+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-5,2020-03-18 12:16:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-6,2020-04-22 19:30:00+00:00,True,5e9d0d95eda69973a809d1ec
CCtCap Demo Mission 2,2020-05-30 19:22:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-7,2020-06-04 01:25:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-8 & SkySat 16-18,2020-06-13 09:21:00+00:00,True,5e9d0d95eda69973a809d1ec
GPS III SV03 (Columbus),2020-06-30 19:55:00+00:00,True,5e9d0d95eda69973a809d1ec
ANASIS-II,2020-07-20 21:30:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07 05:12:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-10 (v1.0) & SkySat 19-21,2020-08-18 14:31:00+00:00,True,5e9d0d95eda69973a809d1ec
"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30 23:18:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-11 (v1.0),2020-09-03 12:46:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-12 (v1.0),2020-10-06 11:29:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-13 (v1.0),2020-10-18 12:25:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-14 (v1.0),2020-10-24 15:31:00+00:00,True,5e9d0d95eda69973a809d1ec
GPS III SV04 (Sacagawea),2020-11-05 23:24:00+00:00,True,5e9d0d95eda69973a809d1ec
Crew-1,2020-11-16 00:27:00+00:00,True,5e9d0d95eda69973a809d1ec
Sentinel-6 Michael Freilich,2020-11-21 17:17:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-15 (v1.0),2020-11-25 02:13:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-21,2020-12-06 16:17:00+00:00,True,5e9d0d95eda69973a809d1ec
SXM-7,2020-12-13 17:30:00+00:00,True,5e9d0d95eda69973a809d1ec
NROL-108,2020-12-19 14:00:00+00:00,True,5e9d0d95eda69973a809d1ec
Turksat 5A,2021-01-08 02:15:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-16 (v1.0),2021-01-20 13:02:00+00:00,True,5e9d0d95eda69973a809d1ec
Transporter-1,2021-01-24 15:00:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-18 (v1.0),2021-02-04 06:19:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-19 (v1.0),2021-02-16 03:59:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-17 (v1.0),2021-03-04 08:24:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-20 (v1.0),2021-03-11 08:13:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-21 (v1.0),2021-03-14 10:01:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-22 (v1.0),2021-03-24 08:28:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-23 (v1.0),2021-04-07 16:34:00+00:00,True,5e9d0d95eda69973a809d1ec
Crew-2,2021-04-23 09:49:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-24 (v1.0),2021-04-29 03:44:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-25 (v1.0),2021-05-04 19:01:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-27 (v1.0),2021-05-09 06:42:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15 22:54:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink-28 (v1.0),2021-05-26 18:59:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-22 & IROSA,2021-06-03 17:29:00+00:00,True,5e9d0d95eda69973a809d1ec
SXM-8,2021-06-06 04:26:00+00:00,True,5e9d0d95eda69973a809d1ec
GPS III SV05,2021-06-17 16:09:00+00:00,True,5e9d0d95eda69973a809d1ec
Transporter-2,2021-06-30 19:31:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-23,2021-08-29 07:14:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 2-1 (v1.5),2021-09-14 03:55:00+00:00,True,5e9d0d95eda69973a809d1ec
Inspiration4,2021-09-16 00:02:00+00:00,True,5e9d0d95eda69973a809d1ec
Crew-3,2021-11-11 02:03:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-1 (v1.5),2021-11-13 12:40:00+00:00,True,5e9d0d95eda69973a809d1ec
DART,2021-11-24 06:20:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-3 (v1.5),2021-12-01 23:20:00+00:00,True,5e9d0d95eda69973a809d1ec
IXPE,2021-12-09 06:00:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-4 (v1.5),2021-12-18 12:41:40+00:00,True,5e9d0d95eda69973a809d1ec
Türksat 5B,2021-12-19 03:58:00+00:00,True,5e9d0d95eda69973a809d1ec
CRS-24,2021-12-21 10:06:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-5 (v1.5),2022-01-06 21:49:00+00:00,True,5e9d0d95eda69973a809d1ec
Transporter-3,2022-01-13 15:25:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-6 (v1.5),2022-01-19 00:04:00+00:00,True,5e9d0d95eda69973a809d1ec
CSG-2,2022-01-31 23:11:12+00:00,True,5e9d0d95eda69973a809d1ec
NROL-87,2022-02-02 20:18:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-7 (v1.5),2022-02-03 18:13:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-8 (v1.5),2022-02-21 14:44:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-11 (v1.5),2022-02-25 17:12:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-9 (v1.5),2022-03-03 14:35:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-10 (v1.5),2022-03-09 13:45:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-12 (v1.5),2022-03-19 03:24:00+00:00,True,5e9d0d95eda69973a809d1ec
Transporter-4,2022-04-01 16:24:00+00:00,True,5e9d0d95eda69973a809d1ec
Ax-1,2022-04-08 15:17:00+00:00,True,5e9d0d95eda69973a809d1ec
NROL-85,2022-04-17 13:13:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-14 (v1.5),2022-04-21 15:16:00+00:00,True,5e9d0d95eda69973a809d1ec
Crew-4,2022-04-27 07:52:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-16 (v1.5),2022-04-29 21:27:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-17 (v1.5),2022-05-06 09:42:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-13 (v1.5),2022-05-13 22:07:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-15 (v1.5),2022-05-14 20:40:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-18 (v1.5),2022-05-18 10:40:00+00:00,True,5e9d0d95eda69973a809d1ec
Transporter-5,2022-05-25 18:27:00+00:00,True,5e9d0d95eda69973a809d1ec
Nilesat-301,2022-06-08 21:04:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-19 (v1.5),2022-06-01 17:08:50+00:00,True,5e9d0d95eda69973a809d1ec
SARah 1,2022-06-18 14:19:00+00:00,True,5e9d0d95eda69973a809d1ec
Globalstar FM15,2022-06-19 04:27:00+00:00,True,5e9d0d95eda69973a809d1ec
SES-22,2022-06-29 21:04:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-21 (v1.5),2022-07-07 13:11:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 3-1 (v1.5),2022-07-11 01:39:00+00:00,,5e9d0d95eda69973a809d1ec
CRS-25,2022-07-15 00:44:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-22 (v1.5),2022-07-17 14:50:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 3-2 (v1.5),2022-07-21 17:13:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-25 (v1.5),2022-07-24 00:00:00+00:00,True,5e9d0d95eda69973a809d1ec
KPLO,2022-08-04 23:08:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-26 (v1.5),2022-08-09 22:57:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 3-3 (v1.5),2022-08-12 21:30:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-27 (v1.5),2022-08-19 19:24:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-23 (v1.5),2022-08-28 02:22:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 3-4 (v1.5),2022-08-31 05:40:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05 02:09:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11 01:10:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-34 (v1.5),2022-09-17 01:05:00+00:00,True,5e9d0d95eda69973a809d1ec
Starlink 4-35 (v1.5),2022-09-24 23:30:00+00:00,True,5e9d0d95eda69973a809d1ec
Crew-5,2022-10-05 16:00:00+00:00,True,5e9d0d95eda69973a809d1ec
USSF-44,2022-11-01 13:41:00+00:00,,5e9d0d95eda69974db09d1ed
Starlink 4-36 (v1.5),2022-10-20 14:50:00+00:00,,5e9d0d95eda69973a809d1ec
Galaxy 33 (15R) & 34 (12R),2022-10-08 23:05:00+00:00,,5e9d0d95eda69973a809d1ec
Hotbird 13F,2022-10-15 05:22:00+00:00,,5e9d0d95eda69973a809d1ec
Hotbird 13G,2022-11-03 03:24:00+00:00,,5e9d0d95eda69973a809d1ec
Galaxy 31 (23R) & 32 (17R),2022-11-08 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
Eutelsat 10B,2022-11-15 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
ispace Mission 1 & Rashid,2022-11-22 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
CRS-26,2022-11-18 22:00:00+00:00,,5e9d0d95eda69973a809d1ec
Starlink 4-37 (v1.5),2022-11-01 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
"O3b mPower 1,2",2022-11-01 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
SWOT,2022-12-05 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
SES-18 & SES-19,2022-11-01 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
Transporter-6,2022-12-01 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
TTL-1,2022-12-01 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
WorldView Legion 1 & 2,2022-12-01 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
Viasat-3 & Arcturus,2022-12-01 00:00:00+00:00,,5e9d0d95eda69974db09d1ed
O3b mPower 3.4,2022-12-01 00:00:00+00:00,,5e9d0d95eda69973a809d1ec
